Timestamp,What is your age?,What is your gender?,In which area do you stay in western line in Mumbai?,Your yearly income in INR,Do you own a house?,Where is your house located?,What is the carpet area of your current house in square feet?,How many rooms do you have?,What is the current price of your house in INR?,What facilities are available in your current society?,What all facilities are currently available in your nearby area?,Are you planning to buy a new house in Mumbai(Western Line)?,Would you take a housing loan if you had to buy a house?,In which area you would like to buy a new house in Mumbai(Western Line) if you had to?,What type of house you would look for if you had to buy a house?,What would be your budget if you had to buy a house?,How much carpet area would you want(square feet) if you had to buy a house?,How many rooms do you want if you had to buy a house?,If you had to buy a house what would you buy?,What facilities you would like a society to feature?,What all facilities you want nearby your area?
4/7/2021 23:53:38,46 - 55,Male,Nallasopara,7lakh - 9lakh,Yes,Building,850,3 BHK,4000000,"Car Parking, Maintenance Staff, Lift","Railway Station, Market",Yes,Yes,Vasai Road,Building,70lakh-80lakh,1107,3 BHK,New House,"Car Parking, Maintenance Staff, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market"
4/4/2021 11:39:34,25 - 35,Male,Nallasopara,1lakh - 3lakh,No,,,,,,,No,No,Nallasopara,Building,30lakh - 40lakh,600,1 BHK,Resale House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/11/2021 12:44:49,56 - 65,Male,Prabhadevi,11lakh and above,Yes,Building,1650,3 BHK,47500000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","College, Hospitals, Medical, Railway Station, Market",No,Yes,Mira Road,Building,2Cr - 3Cr,1800,4 BHK,Resale House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market"
4/9/2021 8:41:34,46 - 55,Male,Prabhadevi,7lakh - 9lakh,Yes,Building,1650,3 BHK,49000000,"24hr Water Supply, Lift, Gym","School, Hospitals, Medical, Market",No,No,Dadar,Building,5Cr - 6Cr,1650,3 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift","School, College, Hospitals, Medical, Railway Station, Market"
4/8/2021 21:19:29,25 - 35,Male,Prabhadevi,3lakh - 5lakh,Yes,Building,310,1 BHK,11000000,"Car Parking, 24hr Water Supply, Maintenance Staff, Lift, 24Hr Security","School, College, Hospitals, Medical",Yes,Yes,Dadar,Building,1Cr - 2Cr,510,1 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market"
4/8/2021 21:16:19,46 - 55,Female,Prabhadevi,7lakh - 9lakh,Yes,Building,1717,3 BHK,46500000,Gym,"School, College, Medical",Yes,No,Bandra,Building,4Cr - 5Cr,1050,2 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market"
4/12/2021 22:42:02,36 - 45,Female,Prabhadevi,5lakh - 7lakh,Yes,Building,1000,2 BHK,27500000,"Car Parking, Lift, 24Hr Security","Medical, Market",No,No,Santacruz,Building,2Cr - 3Cr,1100,2 BHK,Resale House,"24hr Water Supply, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/12/2021 20:57:45,46 - 55,Male,Santacruz,5lakh - 7lakh,Yes,Building,1100,2 BHK,18500000,"24hr Water Supply, Gas Pipeline, Lift","Medical, Market",Yes,No,Bandra,Building,2Cr - 3Cr,1305,2 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/11/2021 20:49:08,46 - 55,Female,Santacruz,7lakh - 9lakh,Yes,Building,550,1 BHK,13000000,"24hr Water Supply, Gas Pipeline, Lift","Medical, Railway Station, Market",No,No,Bandra,Building,2Cr - 3Cr,1000,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market"
4/11/2021 20:45:56,46 - 55,Male,Santacruz,5lakh - 7lakh,Yes,Building,350,1 BHK,4800000,"24hr Water Supply, Gas Pipeline, Lift","Medical, Railway Station, Market",Yes,Yes,Santacruz,Building,1Cr - 2Cr,550,1 BHK,Resale House,"24hr Water Supply, Gas Pipeline, Lift","Medical, Railway Station, Market"
4/11/2021 20:29:45,36 - 45,Male,Santacruz,5lakh - 7lakh,Yes,Building,950,2 BHK,20000000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Medical, Railway Station, Market",Yes,No,Bandra,Building,2Cr - 3Cr,850,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market"
4/11/2021 20:12:45,36 - 45,Male,Santacruz,3lakh - 5lakh,Yes,Building,350,1 BHK,4200000,"Car Parking, Maintenance Staff, Lift, Club house, 24Hr Security, Gym","School, College, Medical, Railway Station, Market",Yes,Yes,Bandra,Building,80lakh-90lakh,550,1 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift","School, College, Hospitals, Medical, Railway Station, Market"
4/10/2021 14:49:49,56 - 65,Female,Santacruz,11lakh and above,Yes,Building,1780,3 BHK,55000000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market",No,Yes,Kandivali,Bungalow,3Cr - 4Cr,3000,4 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline","Hospitals, Medical, Railway Station, Market"
4/10/2021 14:47:09,56 - 65,Male,Vile Parle,11lakh and above,Yes,Building,2250,4 BHK,65000000,"Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market",No,Yes,Borivali,Row House,2Cr - 3Cr,3000,4 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline","Hospitals, Medical, Railway Station, Market"
4/7/2021 23:26:50,36 - 45,Female,Vile Parle,9lakh - 11lakh,Yes,Building,760,1 BHK,15000000,"Car Parking, 24hr Water Supply, Maintenance Staff, Lift, 24Hr Security","College, Hospitals, Medical, Railway Station, Market",Yes,Yes,Borivali,Building,2Cr - 3Cr,550,2 BHK,Resale House,"Car Parking, Maintenance Staff, Lift, 24Hr Security","School, College, Medical, Railway Station, Market"
